Academic Year,Class,Component Name,Category,Amount,New Student Amount,Existing Student Amount,Frequency,Months Applicable,Due Day,Applicable For,Description
2026-2027,Nursery,Reg/Form/Prospectus,ADMISSION,200,,,ONE_TIME,1,15,NEW,Registration and prospectus fee
2026-2027,Nursery,Admission Fee,ADMISSION,1500,1500,0,ONE_TIME,1,15,ALL,Admission fee differs for new and existing students
2026-2027,Nursery,Tuition Fee,ACADEMIC,863,,,MONTHLY,10,10,ALL,Tuition fee for 10 months
2026-2027,Nursery,Exam Fees,ACADEMIC,900,,,ANNUALLY,1,20,ALL,Quarterly half-yearly and final exam fee
2026-2027,Nursery,Sports/Scout Guide/Redcross,ACTIVITY,80,,,MONTHLY,10,10,ALL,Sports and medical activity fee for 10 months
2026-2027,KG1,Reg/Form/Prospectus,ADMISSION,200,,,ONE_TIME,1,15,NEW,Registration and prospectus fee
2026-2027,KG1,Admission Fee,ADMISSION,1500,1500,800,ONE_TIME,1,15,ALL,Admission fee differs for new and existing students
2026-2027,KG1,Tuition Fee,ACADEMIC,891,,,MONTHLY,10,10,ALL,Tuition fee for 10 months
2026-2027,KG1,Exam Fees,ACADEMIC,900,,,ANNUALLY,1,20,ALL,Quarterly half-yearly and final exam fee
2026-2027,KG1,Computer Fees,FACILITY,100,,,MONTHLY,10,10,ALL,Computer fee for 10 months
2026-2027,KG1,Sports/Scout Guide/Redcross,ACTIVITY,80,,,MONTHLY,10,10,ALL,Sports and medical activity fee for 10 months
2026-2027,KG2,Reg/Form/Prospectus,ADMISSION,200,,,ONE_TIME,1,15,NEW,Registration and prospectus fee
2026-2027,KG2,Admission Fee,ADMISSION,1500,1500,800,ONE_TIME,1,15,ALL,Admission fee differs for new and existing students
2026-2027,KG2,Tuition Fee,ACADEMIC,929,,,MONTHLY,10,10,ALL,Tuition fee for 10 months
2026-2027,KG2,Exam Fees,ACADEMIC,900,,,ANNUALLY,1,20,ALL,Quarterly half-yearly and final exam fee
